location,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max
Fjällbacka,N-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel,,,,,,,,,,,,,,4700,,,,,,,,,,,,,,,,,,,
St. Gallen,NE-SW,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemanowes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4
United Downs Deep Geothermal Power Project,NNW-SSE,,,,,,,,,,,,,,,2700,,0.01,,1.00E-16,,,,,,9,,25.2,,0.22,,28,
Coso,N20,,75,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desert Peak, Nevada",NE-SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fenton Hill, New Mexico",N30,,76,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newberry,NW-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salton Sea, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Geysers,NNW-SSE,,,,,,,,,,,,,,,,,,,5.00E-15,1.00E-13,,,,,,,,,,,,
"116 km WNW of Fort St. John, British Columbia",N131E,,,37,,,,SS-RF,,,,,,,,,,,,,,,109,,36,,,,,,,,42
16 km SW Fort St. John-Dawson Creek,NE,,,,,,,RF,,,,,,,,,,,,,,,109,,36,,,,,,,,42
Altares (Montney Trend),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beg-Town (Montney Trend),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cardston, Alberta (Ninastoko field)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribou (Montney Trend),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doe-Dawson (Montney Trend),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duvernay East Shale Basin 10 (Red Deer),N12E,,,60,,,,SS,,,,,0,2720,,,,,0.01,,1.00E-17,,,,,,,,10,,0.15,,
"Fox Creek (SS1, SS4)",NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS10),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS11),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS12),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS13),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS14),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS15),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS16),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS17),N7E,,,90,,,,SS,,45,,5,,,,,,,,,1.00E-14,,,,,,,,,,,,
Fox Creek (SS2),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS3),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS5),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS6) Alberta (Waskahigan and McKinley fields) (Well Pad 1),NS,,,90,,,,SS,,45,,5,,,,,,,,,1.00E-14,,,,,,,,,,,,
Fox Creek (SS7) (Well Pad 3),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS8) (Well Pad 2),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (SS9) (Well Pad 6),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (Well Pad 4),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Creek (Well Pad 5),NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Horn River Basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horn River Basin (Etsho and Kiwigana fields),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montney Trend,NNW-SSE,NNW-SSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Septimus (Montney Trend),,,,,,,,,,,,,,,,,,,,,,23,23,2.3,2.3,,,,,,,2.76E+01,2.76E+01
"Tony Creek dual Microseismic Experiment (ToC2ME), Fox Creek, Alberta",N5E,,,,,,NS1,,,,,,1000,,,,,,,,,,,,,,,,,,,,
"H7 well pad, Shangluo site, Zhaotong field",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
