sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max
Wastewater injection,Arbuckle group,Limestone and crystalline Basement,,,2670,,0.03,,0.03,,1.00E-13,1.00E-13,53.4,,53.4,0.23,,0.23,,,,,,,,,,,,,,,,,,
Wastewater injection,Ellenburger carbonates,Carbonate,,,,,,0.04,0.04,1.00E-15,5.00E-13,2.51E-13,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,Smackover Formation,Cockfield sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,"Arbuckle (Group) limestone, Troy granite and Roosevelt gabbro",Limestone and crystalline Basement,,,2670,,0.03,0.2,0.11,6.60E-15,1.00E-13,5.33E-14,53.4,85.5,65.7,0.23,0.34,0.28,32.96,89.06,21.71,31.9,0.3,,38.5,47,17,51,86,237,,,,,,
Wastewater injection,Arbuckle group,Carbonate,,,,,,,0.2,1.00E-15,1.00E-13,5.05E-14,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,Arbuckle Group,Dolomitized limestone,,,2680,,0.07,0.87,0.47,,,,60.14,82.21,71,0.24,0.34,0.3,50.12,68.51,23.13,31.62,,,39,49,17,48,114,237,,,,,,
Wastewater injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,Ellenburger carbonates,Carbonate,,,,,,,0.04,3.00E-14,1.00E-13,6.76E-14,,,30.5,,,0.26,,,,12.1,0.71,,,,,,,,,,,,,
Wastewater injection,Mt. Simon (basal) Sandstone,Sandstone,,,,,0.09,0.1,0.1,,1.00E-13,1.00E-13,,62,62,0.19,,0.19,,20.67,,31,,,,,,,,,,,,,,
Wastewater injection,"Leadville Limestone, partially injected in precambrian aphanitic schist","Carbonate, Sandstone and Schist",,5,,,,0.06,0.06,1.90E-15,,1.90E-15,20,50,35,0.2,0.35,0.28,11.11,55.56,8.33,18.52,,,40,,21,,,,10,,,,,
Wastewater injection,Arbuckle group,limestone and crystalline Basement,,,2670,,0.03,,0.03,,1.00E-13,1.00E-13,53.4,,53.4,0.23,,0.23,,,,,,,,,,,,,,,,,,
Wastewater injection,Arbuckle group,Carbonate,,,2700,,,,,,1.00E-13,1.00E-13,37.5,,37.5,0.25,,0.25,25,,15,,,,,,,,,,,,,,,
Wastewater injection,"Dakota Sandstone, Morrison Formation, and Entrada Sandstone",Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,"Dakota Sandstone, Morrison Formation, and Entrada Sandstone",Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,Monterey Formation,Sandstone,,,,,,,,2.00E-13,1.00E-12,6.00E-13,,,,,,,,,30,,,,,,,,,,,,,,,
Wastewater injection,Rodessa Formation,Sandstone,,,2450,,0.1,0.26,0.18,1.00E-14,6.50E-13,2.00E-13,,,40,,,0.2,22.22,16.67,,,0.79,,,,,,,,,,,,,
Wastewater injection,Ellenburger carbonates,Carbonate,,,,,,0.04,0.04,1.00E-15,5.00E-13,2.51E-13,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,Mt. Simon (basal) Sandstone,Sandstone,,,,,0.09,0.1,0.1,,1.00E-13,1.00E-13,,62,62,0.19,,0.19,,20.67,,31,,,,,,,,,,,,,,
