sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max
EGS (circulation),Malm limestone,karstic limestone,,,2620,2670,0.05,0.12,0.08,1.30E-14,3.90E-14,2.60E-14,20.7,26.1,23.4,0.22,0.26,0.24,12.32,18.13,8.48,10.36,,,,,,,74.9,81.9,7.5,8.5,,,8.00E-05,1.10E-04
Geothermal (reinjection),,Basalt,,18.6,,2700,,,0.1,,,3.00E-14,,25,25,0.25,,0.25,,8.33,,12.5,,1,22,46,30,,155,155,,,,2.1,2.00E-05,6.00E-05
Geothermal (drilling and stimulation),,Basalt,,18.6,,2700,,,0.1,3.00E-15,6.00E-15,4.50E-15,,25,25,0.25,,0.25,,8.33,,12.5,,1,22,46,30,,55,155,,,,2.1,2.00E-05,6.00E-05
Geothermal (reinjection),,Basalt,,18.6,,2700,,,0.1,,,3.00E-14,,25,25,0.25,,0.25,,8.33,,12.5,,1,22,46,30,,55,155,,,,2.1,2.00E-05,6.00E-05
Geothermal (reinjection),,Basalt,,,,,0.1,0.6,0.35,1.93E-16,2.53E-13,1.27E-13,9.1,50,29.55,0.18,0.2,0.19,4.74,27.78,3.86,20.83,,,,,,,5,105,1.5,22,,,6.09E-06,
Geothermal (reinjection),,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal (reinjection),,Basalt,,,2650,2920,0.06,0.18,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal (reinjection),,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal (extraction and reinjection),,Volcanics,,,2500,2980,,,,,,,17,82,49.5,,,,5.67,27.33,8.5,41,,,,,,,10,414,2.1,13.4,,,,
Geothermal (reinjection),,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
